id,case_number,date,primary_type,description,district,year,latitude,longitude
12548309,JE454074,2021-11-22T20:45:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,022,2021,41.722509809,-87.643245201
12548287,JE454090,2021-11-22T20:44:00.000,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,007,2021,41.774823492,-87.665359393
12548467,JE454149,2021-11-22T20:40:00.000,CRIMINAL DAMAGE,TO PROPERTY,006,2021,41.728958138,-87.629537107
12548279,JE454107,2021-11-22T20:40:00.000,ROBBERY,STRONG ARM - NO WEAPON,010,2021,41.84431416,-87.719977688
12548370,JE454134,2021-11-22T20:36:00.000,DECEPTIVE PRACTICE,FORGERY,002,2021,41.827016887,-87.617064386
12548229,JE454069,2021-11-22T20:36:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,015,2021,41.883083086,-87.773317625
12549783,JE455747,2021-11-22T20:36:00.000,BURGLARY,UNLAWFUL ENTRY,024,2021,42.006000524,-87.661040637
12548221,JE454064,2021-11-22T20:32:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,018,2021,41.889453169,-87.627994833
12550910,JE457225,2021-11-22T20:30:00.000,CRIMINAL DAMAGE,TO VEHICLE,014,2021,,
12548277,JE454083,2021-11-22T20:30:00.000,THEFT,$500 AND UNDER,005,2021,41.697647241,-87.594839913
12549165,JE454524,2021-11-22T20:30:00.000,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,003,2021,41.76916785,-87.566530745
12548942,JE454935,2021-11-22T20:30:00.000,THEFT,$500 AND UNDER,008,2021,41.772430424,-87.740895361
12548326,JE454155,2021-11-22T20:28:00.000,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,002,2021,41.794324752,-87.624652856
12548269,JE454120,2021-11-22T20:28:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,010,2021,41.852506689,-87.730514558
12548330,JE454088,2021-11-22T20:26:00.000,DECEPTIVE PRACTICE,STOLEN PROPERTY BUY / RECEIVE / POSSESS,012,2021,41.88171468,-87.651207341
12548237,JE454067,2021-11-22T20:09:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,018,2021,41.892380707,-87.634636086
12549408,JE454467,2021-11-22T20:08:00.000,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,025,2021,41.933182891,-87.806580645
12548312,JE454089,2021-11-22T20:00:00.000,ROBBERY,ARMED - HANDGUN,018,2021,41.894824927,-87.631788635
12548411,JE454126,2021-11-22T20:00:00.000,BURGLARY,UNLAWFUL ENTRY,006,2021,41.746677356,-87.666204568
12548438,JE454258,2021-11-22T20:00:00.000,THEFT,$500 AND UNDER,002,2021,41.817604432,-87.598015977
12548637,JE454478,2021-11-22T20:00:00.000,THEFT,$500 AND UNDER,020,2021,41.983778963,-87.691890502
12548602,JE454442,2021-11-22T20:00:00.000,THEFT,$500 AND UNDER,020,2021,41.982049783,-87.691830621
12548939,JE454932,2021-11-22T20:00:00.000,THEFT,OVER $500,010,2021,41.855886931,-87.723625931
12549499,JE455582,2021-11-22T20:00:00.000,CRIMINAL DAMAGE,TO PROPERTY,006,2021,41.744034446,-87.665707929
12548837,JE454637,2021-11-22T20:00:00.000,THEFT,$500 AND UNDER,025,2021,41.913965041,-87.760721344
12548286,JE454049,2021-11-22T20:00:00.000,THEFT,RETAIL THEFT,014,2021,41.931138327,-87.697596282
12549059,JE455039,2021-11-22T20:00:00.000,THEFT,$500 AND UNDER,006,2021,41.750613606,-87.602738891
12548725,JE454602,2021-11-22T19:59:00.000,THEFT,RETAIL THEFT,019,2021,41.932191946,-87.64474923
12548255,JE453043,2021-11-22T19:50:00.000,BATTERY,AGGRAVATED - HANDGUN,022,2021,41.694080543,-87.650923409
12552156,JE454041,2021-11-22T19:45:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,005,2021,,
12549079,JE454917,2021-11-22T19:30:00.000,CRIMINAL DAMAGE,TO VEHICLE,004,2021,41.743830056,-87.561247901
12550373,JE456140,2021-11-22T19:30:00.000,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",017,2021,41.961387731,-87.732746982
12548260,JE454037,2021-11-22T19:28:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,003,2021,41.783448947,-87.596272423
12548926,JE454043,2021-11-22T19:20:00.000,THEFT,PURSE-SNATCHING,002,2021,41.833139425,-87.615319213
12548296,JE453986,2021-11-22T19:17:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,005,2021,41.698889033,-87.629158341
12548207,JE454024,2021-11-22T19:16:00.000,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,006,2021,41.747133731,-87.601429812
12551721,JE458253,2021-11-22T19:15:00.000,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES,001,2021,,
12548261,JE454002,2021-11-22T19:14:00.000,ROBBERY,ATTEMPT ARMED - KNIFE / CUTTING INSTRUMENT,009,2021,41.843345918,-87.635448744
12549012,JE454013,2021-11-22T19:09:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,016,2021,41.944238241,-87.805736121
12548715,JE454433,2021-11-22T19:06:00.000,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,002,2021,41.81311503,-87.622464902
12548187,JE454018,2021-11-22T19:04:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,008,2021,41.756454861,-87.717230556
12548201,JE453981,2021-11-22T19:03:00.000,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,025,2021,41.918254348,-87.783187997
12549480,JE455499,2021-11-22T19:00:00.000,ASSAULT,SIMPLE,009,2021,41.829662576,-87.64998067
12548906,JE454857,2021-11-22T19:00:00.000,THEFT,$500 AND UNDER,006,2021,41.750940418,-87.625130255
12548514,JE454322,2021-11-22T19:00:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,016,2021,41.939352976,-87.777129565
12549421,JE455388,2021-11-22T19:00:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,019,2021,41.934120962,-87.677051754
12548295,JE454114,2021-11-22T19:00:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,007,2021,41.779153403,-87.65449147
12551353,JE457540,2021-11-22T19:00:00.000,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,012,2021,,
12549932,JE456151,2021-11-22T19:00:00.000,THEFT,$500 AND UNDER,019,2021,41.940076135,-87.642473797
12550911,JE457312,2021-11-22T19:00:00.000,THEFT,$500 AND UNDER,010,2021,,
12548592,JE454276,2021-11-22T19:00:00.000,THEFT,OVER $500,008,2021,41.773024837,-87.700545777
12548248,JE453983,2021-11-22T18:56:00.000,ROBBERY,ARMED - HANDGUN,006,2021,41.753965233,-87.608938519
12548301,JE453993,2021-11-22T18:52:00.000,ROBBERY,ARMED - HANDGUN,002,2021,41.82663397,-87.609389378
12548219,JE453996,2021-11-22T18:50:00.000,ASSAULT,AGGRAVATED - HANDGUN,004,2021,41.751007325,-87.581665974
12548346,JE454005,2021-11-22T18:46:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,003,2021,41.76874138,-87.590590306
12548364,JE454188,2021-11-22T18:45:00.000,CRIMINAL DAMAGE,TO VEHICLE,005,2021,41.66789932,-87.625920329
12548238,JE453962,2021-11-22T18:40:00.000,ASSAULT,SIMPLE,020,2021,41.987951293,-87.655323262
12552097,JE458502,2021-11-22T18:40:00.000,THEFT,$500 AND UNDER,010,2021,,
12548227,JE453973,2021-11-22T18:30:00.000,CRIMINAL DAMAGE,TO VEHICLE,007,2021,41.779620623,-87.653679946
12548245,JE453947,2021-11-22T18:25:00.000,BATTERY,AGGRAVATED - HANDGUN,009,2021,41.799076898,-87.633450074
12548185,JE453997,2021-11-22T18:20:00.000,THEFT,RETAIL THEFT,002,2021,41.809014313,-87.606554341
12548366,JE454204,2021-11-22T18:05:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,024,2021,42.001550738,-87.659387754
12548220,JE454062,2021-11-22T18:00:00.000,BURGLARY,FORCIBLE ENTRY,011,2021,41.900010751,-87.724995236
12548160,JE453955,2021-11-22T18:00:00.000,CRIMINAL TRESPASS,TO RESIDENCE,005,2021,41.657244543,-87.600322358
12548209,JE453984,2021-11-22T18:00:00.000,ROBBERY,ARMED - HANDGUN,001,2021,41.844026941,-87.622100808
12549090,JE455106,2021-11-22T18:00:00.000,THEFT,$500 AND UNDER,012,2021,41.880173915,-87.647312948
12548729,JE453880,2021-11-22T18:00:00.000,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,011,2021,41.873699424,-87.704705156
12548488,JE454288,2021-11-22T18:00:00.000,THEFT,OVER $500,001,2021,41.874987658,-87.640972145
12548251,JE453968,2021-11-22T18:00:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,008,2021,41.777479042,-87.73859783
12549608,JE455489,2021-11-22T18:00:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,011,2021,41.883574286,-87.736799695
12549180,JE454247,2021-11-22T18:00:00.000,BURGLARY,FORCIBLE ENTRY,017,2021,41.952805697,-87.710435423
12548267,JE454072,2021-11-22T18:00:00.000,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,022,2021,41.699184632,-87.642593834
12548302,JE454160,2021-11-22T18:00:00.000,THEFT,OVER $500,012,2021,41.883641965,-87.648579514
12550748,JE457085,2021-11-22T18:00:00.000,BATTERY,SIMPLE,008,2021,,
12549405,JE455379,2021-11-22T18:00:00.000,THEFT,OVER $500,019,2021,41.93178162,-87.651405487
12548322,JE454136,2021-11-22T17:58:00.000,THEFT,FROM BUILDING,018,2021,41.891749251,-87.623404339
12548275,JE453926,2021-11-22T17:54:00.000,THEFT,RETAIL THEFT,019,2021,41.930286342,-87.64364886
12548144,JE453927,2021-11-22T17:52:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,015,2021,41.896810079,-87.749135533
12548125,JE453918,2021-11-22T17:50:00.000,ASSAULT,AGGRAVATED - HANDGUN,022,2021,41.735478834,-87.643601006
12548109,JE453913,2021-11-22T17:44:00.000,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,001,2021,41.879383612,-87.634124064
12548180,JE453901,2021-11-22T17:43:00.000,CRIMINAL DAMAGE,TO VEHICLE,002,2021,41.817358919,-87.611661931
12548215,JE453906,2021-11-22T17:38:00.000,ASSAULT,SIMPLE,011,2021,41.866184642,-87.724379838
12548690,JE454169,2021-11-22T17:30:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,001,2021,41.851096917,-87.624889096
12550543,JE454015,2021-11-22T17:30:00.000,NARCOTICS,FOUND SUSPECT NARCOTICS,019,2021,41.926760039,-87.642283084
12548803,JE454618,2021-11-22T17:30:00.000,THEFT,OVER $500,014,2021,41.910511504,-87.675938005
12548164,JE453974,2021-11-22T17:30:00.000,BATTERY,SIMPLE,024,2021,41.998031985,-87.672959422
12548263,JE453903,2021-11-22T17:25:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,009,2021,41.808630416,-87.663012912
12549020,JE453934,2021-11-22T17:25:00.000,THEFT,FROM BUILDING,018,2021,41.920801381,-87.637581657
12548621,JE454408,2021-11-22T17:20:00.000,OTHER OFFENSE,HARASSMENT BY TELEPHONE,002,2021,41.81311503,-87.622464902
12548047,JE453871,2021-11-22T17:13:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,006,2021,41.736259984,-87.628068782
12548082,JE453929,2021-11-22T17:00:00.000,THEFT,RETAIL THEFT,018,2021,41.922587261,-87.644764322
12548587,JE454375,2021-11-22T17:00:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,002,2021,41.815678779,-87.623005155
12548132,JE453883,2021-11-22T17:00:00.000,CRIMINAL TRESPASS,TO LAND,022,2021,41.729750347,-87.662888405
12548054,JE453851,2021-11-22T17:00:00.000,ASSAULT,SIMPLE,025,2021,41.909321121,-87.770017081
12549788,JE455967,2021-11-22T17:00:00.000,THEFT,$500 AND UNDER,006,2021,41.750386625,-87.661317782
12550938,JE457284,2021-11-22T17:00:00.000,THEFT,$500 AND UNDER,002,2021,,
12548213,JE453910,2021-11-22T17:00:00.000,CRIMINAL DAMAGE,TO PROPERTY,004,2021,41.729171506,-87.55456177
12549095,JE455091,2021-11-22T17:00:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,024,2021,41.992949554,-87.658301359
12548084,JE453924,2021-11-22T17:00:00.000,THEFT,POCKET-PICKING,019,2021,41.943015275,-87.649363406
12548193,JE453859,2021-11-22T17:00:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,008,2021,41.775479568,-87.790950217
12548916,JE454753,2021-11-22T17:00:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,003,2021,41.760104288,-87.573679569
12548222,JE453829,2021-11-22T16:58:00.000,BATTERY,AGGRAVATED - HANDGUN,004,2021,41.751438412,-87.552889084
12548706,JE453944,2021-11-22T16:55:00.000,BURGLARY,FORCIBLE ENTRY,018,2021,41.917148686,-87.635299232
12548139,JE453831,2021-11-22T16:52:00.000,ROBBERY,STRONG ARM - NO WEAPON,002,2021,41.809502571,-87.608690964
12548253,JE453860,2021-11-22T16:51:00.000,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,009,2021,41.851324312,-87.631981549
12548094,JE453961,2021-11-22T16:50:00.000,BATTERY,SIMPLE,008,2021,41.740846794,-87.721633852
26456,JE452746,2021-11-22T16:42:00.000,HOMICIDE,FIRST DEGREE MURDER,003,2021,41.772626204,-87.572805978
12548079,JE453843,2021-11-22T16:40:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,014,2021,41.903000999,-87.688603809
12548096,JE453824,2021-11-22T16:37:00.000,ASSAULT,SIMPLE,006,2021,41.748621208,-87.608800713
12549745,JE453816,2021-11-22T16:32:00.000,ASSAULT,AGGRAVATED - HANDGUN,006,2021,41.751421844,-87.658613397
12548719,JE454443,2021-11-22T16:30:00.000,BATTERY,SIMPLE,012,2021,41.900505589,-87.699285044
12551948,JE458381,2021-11-22T16:30:00.000,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,007,2021,,
12548146,JE453892,2021-11-22T16:30:00.000,ASSAULT,SIMPLE,004,2021,41.756298891,-87.561468638
12548208,JE453827,2021-11-22T16:26:00.000,ARSON,BY FIRE,008,2021,41.778524406,-87.705547532
12548065,JE453815,2021-11-22T16:20:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,006,2021,41.745859767,-87.598754595
12548055,JE453784,2021-11-22T16:20:00.000,CRIMINAL DAMAGE,TO PROPERTY,025,2021,41.90553162,-87.733763027
12548124,JE453808,2021-11-22T16:20:00.000,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",020,2021,41.972402958,-87.65490716
12548053,JE453799,2021-11-22T16:20:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,006,2021,41.755405649,-87.660327195
12548035,JE453781,2021-11-22T16:19:00.000,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,001,2021,41.8744151,-87.627609439
12549161,JE453855,2021-11-22T16:19:00.000,ASSAULT,SIMPLE,006,2021,41.726320396,-87.63215586
12548264,JE453949,2021-11-22T16:18:00.000,ASSAULT,AGGRAVATED - HANDGUN,022,2021,41.719194587,-87.653822535
12548051,JE453788,2021-11-22T16:17:00.000,STALKING,SIMPLE,006,2021,41.75274158,-87.634690291
12549999,JE456122,2021-11-22T16:15:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,004,2021,41.759012808,-87.560215615
12548161,JE453834,2021-11-22T16:15:00.000,BATTERY,SIMPLE,024,2021,42.015517282,-87.679074821
12548101,JE453852,2021-11-22T16:15:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,001,2021,41.85063982,-87.623748975
12549675,JE455796,2021-11-22T16:15:00.000,THEFT,POCKET-PICKING,019,2021,41.939935646,-87.652491107
12548112,JE453809,2021-11-22T16:15:00.000,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,015,2021,41.873567157,-87.764614265
12548155,JE454003,2021-11-22T16:12:00.000,BATTERY,SIMPLE,019,2021,41.953885576,-87.65453007
12548020,JE453812,2021-11-22T16:03:00.000,CRIMINAL TRESPASS,TO RESIDENCE,017,2021,41.958183672,-87.727747513
12547995,JE453757,2021-11-22T16:02:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,003,2021,41.776172995,-87.614327205
12551234,JE453797,2021-11-22T16:00:00.000,ASSAULT,SIMPLE,012,2021,,
12548817,JE454633,2021-11-22T16:00:00.000,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,019,2021,41.931137125,-87.640016131
12548223,JE454046,2021-11-22T16:00:00.000,CRIMINAL DAMAGE,TO PROPERTY,004,2021,41.754233703,-87.555552585
12550534,JE456874,2021-11-22T16:00:00.000,CRIMINAL DAMAGE,TO VEHICLE,009,2021,41.802992346,-87.680896626
12548298,JE453837,2021-11-22T16:00:00.000,THEFT,$500 AND UNDER,005,2021,41.680812341,-87.628747772
12548111,JE453758,2021-11-22T16:00:00.000,BATTERY,SIMPLE,008,2021,41.740846794,-87.721633852
12548150,JE453791,2021-11-22T16:00:00.000,ASSAULT,SIMPLE,004,2021,41.736117017,-87.566755483
12548626,JE454422,2021-11-22T15:55:00.000,ROBBERY,STRONG ARM - NO WEAPON,002,2021,41.803703757,-87.599157887
12548023,JE453780,2021-11-22T15:48:00.000,ROBBERY,STRONG ARM - NO WEAPON,005,2021,41.70263098,-87.616077238
12548042,JE453729,2021-11-22T15:46:00.000,ASSAULT,SIMPLE,025,2021,41.903509764,-87.717806169
12548059,JE453770,2021-11-22T15:45:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,002,2021,41.803615133,-87.603769215
12548102,JE453848,2021-11-22T15:45:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,016,2021,41.999250686,-87.76311758
12548278,JE454060,2021-11-22T15:45:00.000,CRIMINAL TRESPASS,TO LAND,016,2021,41.989307302,-87.772350754
12548036,JE453858,2021-11-22T15:45:00.000,THEFT,POCKET-PICKING,001,2021,,
12548024,JE453856,2021-11-22T15:43:00.000,BATTERY,SIMPLE,024,2021,42.018498254,-87.672983233
12552894,JE453771,2021-11-22T15:30:00.000,BATTERY,AGGRAVATED OF A CHILD,019,2021,,
12548057,JE453708,2021-11-22T15:22:00.000,ASSAULT,SIMPLE,025,2021,41.933307355,-87.795543143
12548400,JE454223,2021-11-22T15:21:00.000,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,002,2021,41.795251156,-87.581724977
12548117,JE453876,2021-11-22T15:20:00.000,BATTERY,SIMPLE,015,2021,41.884807342,-87.75033191
12547963,JE453698,2021-11-22T15:15:00.000,ASSAULT,SIMPLE,017,2021,41.997285939,-87.717455138
12548957,JE454948,2021-11-22T15:15:00.000,BURGLARY,ATTEMPT FORCIBLE ENTRY,019,2021,41.934530492,-87.649880395
12548000,JE453723,2021-11-22T15:09:00.000,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,002,2021,41.790674405,-87.617498454
12548247,JE453702,2021-11-22T15:03:00.000,BATTERY,SIMPLE,015,2021,41.901037525,-87.768040194
12548951,JE454835,2021-11-22T15:00:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,007,2021,41.776921326,-87.664149776
12550392,JE456673,2021-11-22T15:00:00.000,THEFT,$500 AND UNDER,009,2021,41.815708717,-87.683207073
12549731,JE455839,2021-11-22T15:00:00.000,THEFT,$500 AND UNDER,008,2021,41.791048135,-87.69982583
12548537,JE454362,2021-11-22T15:00:00.000,BATTERY,SIMPLE,019,2021,41.966409353,-87.648852157
12548196,JE453867,2021-11-22T15:00:00.000,BURGLARY,FORCIBLE ENTRY,008,2021,41.764293682,-87.708790938
12548154,JE453985,2021-11-22T15:00:00.000,THEFT,$500 AND UNDER,010,2021,41.854533787,-87.723583723
