systemstop,objectid,street,routesstpg,public_nam,point_x,point_y
5806,5197,HALSTED,"8,18,N62",Halsted & 16th Street,-87.646764,41.859713
14496,5198,HALSTED,"8,169",Halsted & 69th Street,-87.64458968,41.76839991
1609,5199,MICHIGAN,"1,4",Michigan & 33rd Street,-87.62343531,41.83449802
1852,5200,CLARK,22,Clark & Maple,-87.631465,41.901941
7536,5201,MICHIGAN,"34,103,119",Michigan & 103rd Street,-87.62028475,41.70731275
7706,5202,PERSHING,39,Pershing & Western Boulevard,-87.68391162,41.82290788
12461,5203,119TH STREET,119,119th Street & State,-87.6227765,41.67796617
10182,5204,67TH STREET,"N5,67",67th Street & St. Lawrence,-87.61070845,41.77299597
10937,5205,75TH STREET,75,75th Street & St. Lawrence,-87.61035081,41.75841336
9933,5206,NORTHWEST HWY,68,Northwest Hwy & Harlem,-87.80702275,41.99699197
7284,5207,AVENUE O,30,Avenue O & 112th Street,-87.54020366,41.69161061
5850,5208,HALSTED,8,Halsted & 66th Street,-87.6447605,41.77438209
15227,5209,LINCOLN,11,Lincoln & California,-87.69961531,41.98589397
11885,5210,CALIFORNIA,93,California & Hollywood,-87.699284,41.985005
10054,5211,KEDZIE,52A,Kedzie & 111th Street,-87.70092487,41.69167274
15353,5212,HALSTED,"8,N62",Halsted & Canalport,-87.64663323,41.85446241
2564,5213,COTTAGE GROVE,4,Cottage Grove & 61st Street,-87.60612993,41.78413693
15479,5214,CICERO,54,Cicero & Roscoe,-87.74685287,41.9426609
11590,5215,CENTRAL,85,Central & Augusta,-87.76542919,41.89838694
15563,5216,STATE,"29,62,130,146",State & 11th Street,-87.62760721,41.86905855
7620,5217,MICHIGAN,"34,103,106,119",Michigan & 99th Street,-87.62025967,41.71448952
6276,5218,ASHLAND,"9,X9",Ashland & Addison,-87.66870652,41.94689323
15202,5219,CHICAGO,66,Chicago & Wood,-87.67250761,41.89607421
15138,5220,CONGRESS,"7,126",Congress & Central Park,-87.71579679,41.87454844
9498,5221,87TH STREET,"24,87",87th Street & Vincennes,-87.64554586,41.7361448
5395,5222,DIVISION,36,Division & Clark (Red Line),-87.63130509,41.90396938
14467,5223,MADISON,20,Madison & Halsted,-87.64755835,41.88185289
10833,5224,71ST STREET,71,71st Street & Dorchester,-87.59076,41.7661
7409,5225,69TH STREET,"N5,30,67",69th Street & King Drive,-87.61522864,41.76939966
7377,5226,92ND STREET,30,92nd Street & Exchange,-87.55248162,41.72829697
10447,5227,OLD ORCHARD RD,"54A,205",Old Orchard Rd & Lockwood,-87.75877878,42.06259424
9918,5228,TOUHY,68,Touhy & Summit/Prospect,-87.83114989,42.01112097
9721,5229,LAWRENCE,81W,Lawrence & Oketo,-87.81220527,41.96708191
3608,5230,OAKTON,97,Oakton & Hamlin,-87.723501,42.026198
14698,5231,GOLF ROAD,205,Golf Road & Kenton,-87.74213047,42.05517909
7164,5232,47TH STREET,47,47th Street & Langley,-87.60910866,41.80943797
10175,5233,69TH STREET,67,69th Street & Princeton,-87.63239911,41.76894458
14734,5234,EMERSON,93,Emerson & Ashland,-87.69365423,42.05212156
12216,5235,103RD STREET,106,103rd Street & Calumet,-87.61506094,41.70722237
10559,5236,55TH STREET,55,55th Street & Kimbark,-87.59503104,41.79500703
1334,5237,FULLERTON,74,Fullerton & Oakley,-87.68525748,41.92483234
10627,5238,55TH STREET,55,55th Street & Pulaski,-87.72361941,41.79327373
4707,5239,PULASKI,"53A,67",Pulaski & 75th Place,-87.72198259,41.75630969
14456,5240,BROADWAY,36,Broadway & Bryn Mawr/Ridge,-87.65996423,41.98383467
8413,5241,WESTERN,"49,X49",Western & Belmont/Clybourn,-87.68788375,41.93911898
14912,5242,BELMONT,77,Belmont & Lincoln/Ashland,-87.66825577,41.93964276
15535,5243,IRVING PARK,"53,54A,80",Irving Park & Keystone Terminal,-87.73015676,41.95387464
7555,5244,MICHIGAN,34,Michigan & 121st Street,-87.62046196,41.67449671
7386,5245,SOUTH CHICAGO,30,South Chicago & 83rd Street,-87.57522206,41.74419454
1851,5246,CLARK,22,Clark & Elm,-87.631502,41.903244
860,5247,NORTH AVENUE,72,North Ave & Menard,-87.77086088,41.90920726
14964,5248,WESTERN,"49,X49",Western & Irving Park,-87.68858848,41.95373127
15273,5249,HALSTED,8,Halsted & Division,-87.64814536,41.90336405
3418,5250,63RD STREET,63,63rd Street & Aberdeen,-87.652178,41.779563
5936,5251,HALSTED,8,Halsted & Hubbard,-87.6475202,41.89038506
16018,5252,87TH STREET,87,Beverly Country Club,-87.68465043,41.73537843
17644,5253,HOMAN,82,Homan & Division,-87.71173436,41.90256633
5984,5254,HALSTED,"8A,108",12100 S Halsted,-87.64190174,41.67422757
326,5255,ROOSEVELT,"12,18,N62",327 W Roosevelt,-87.6355436,41.86741626
7276,5256,EWING,30,Ewing & 108th Street,-87.53538,41.699284
15414,5257,TAYLOR,12,V.A. Medical Center,-87.67926525,41.86900528
8821,5258,DAMEN,50,Damen & Sunnyside,-87.679098,41.96335
7603,5259,MICHIGAN,"34,119",Michigan & Kensington,-87.6206188,41.68385281
2796,5260,79TH STREET,79,79th Street & East End,-87.583035,41.751477
5100,5261,WALLACE,44,Wallace & 37th Street,-87.64106465,41.82706026
15141,5262,WESTERN,49,Western & 76th Street,-87.68290298,41.7558364
2848,5263,115TH STREET,115,115th Street & Perry,-87.62486054,41.68538014
6339,5264,BLUE ISLAND,60,Blue Island & 15th Street,-87.6578858,41.86153766
15059,5265,WESTERN,"49,X49",Western Pink Line Station,-87.68579134,41.85431964
14418,5266,BRIDGE,205,Bridge & McCormick,-87.7019339,42.05656209
15395,5267,CICERO,54,Cicero & Barry,-87.74694526,41.93678473
1950,5268,CLARK,22,Clark & Ardmore,-87.66964976,41.9881215
15707,5269,HARLEM,"90,307,318",Harlem & Berkshire,-87.80532764,41.90320744
6355,5270,HARBOR DRIVE,60,Harbor Drive & Randolph,-87.61507231,41.88496532
7645,5271,35TH STREET,35,35th Street & Lituanica,-87.64841377,41.83077784
6597,5272,FULLERTON,"11,37,74",Fullerton & Sheffield (Red/Brown/Purple Line),-87.65262276,41.92532108
7443,5273,31ST STREET,35,31st Street & Karlov,-87.7268782,41.83678141
17477,5274,MILWAUKEE,56,Milwaukee & Springfield,-87.72519897,41.93998817
3669,5275,HALSTED,8A,Halsted & 88th Street,-87.643458,41.734215
8914,5276,DAMEN,50,Damen & Fulton,-87.676704,41.886686
5947,5277,HALSTED,"8,132",Halsted & Evergreen,-87.64805468,41.90626798
1686,5278,WESTERN,49B,Western & Estes,-87.690135,42.010824
12894,5279,PULASKI,53A,Pulaski & 108th Street,-87.72040653,41.69652907
484,5280,MADISON,20,Madison & St. Louis,-87.713772,41.880943
9613,5281,AUSTIN,91,Austin & Harvard/Arthington,-87.77433754,41.86903499
1824,5282,CLARK,22,Clark & Cornelia,-87.65535566,41.94565441
14058,5283,LASALLE,"134,135,136,156",LaSalle & Wacker/Lake,-87.63262579,41.88638377
2247,5284,KING DRIVE,3,King Drive & 78th Street,-87.61509273,41.75280187
5139,5285,WALLACE,44,3406 S Wallace,-87.64134961,41.83256587
8988,5286,PULASKI,53,Pulaski & Sunnyside,-87.7279748,41.9625748
7234,5287,SOUTH CHICAGO,30,South Chicago & Dante,-87.59022925,41.75470499
7275,5288,EWING,30,Ewing & 107th Street,-87.53531548,41.7010417
7547,5289,MICHIGAN,"34,119",Michigan & 114th Street,-87.62102548,41.68714676
4448,5290,ARCHER,"8,62",Archer & Green,-87.64762295,41.84653774
11673,5291,LEHIGH,85A,Lehigh & Keota,-87.76939,42.004219
10480,5292,CICERO,54A,Cicero & Forest Glen,-87.748375,41.985692
9611,5293,AUSTIN,91,Austin & Harrison,-87.77444435,41.87267096
2201,5294,KING DRIVE,3,3400 S King Drive,-87.6174661,41.83253785
5174,5295,RACINE,44,Racine & 61st Street,-87.65468415,41.78331431
5759,5296,HALSTED,8,Halsted & Cornelia,-87.649507,41.945539
2243,5297,KING DRIVE,3,King Drive & 74th Street,-87.61525474,41.76009709
12692,5298,RIDGE,201,Ridge & Grove,-87.68872442,42.04569721
15351,5299,HALSTED,8,Halsted & Randolph/Washington,-87.64751024,41.88379731
1533,5300,E HYDE PARK,"2,15",E Hyde Park & Ellis,-87.60194444,41.80236318
14405,5301,DAVIS,"201,205",Davis & Benson,-87.6833273,42.04709414
12210,5302,103RD STREET,103,103rd Street & Springfield,-87.71827936,41.70602847
10091,5303,69TH STREET,67,69th Street & Stewart,-87.634884,41.769049
2916,5304,111TH STREET,111,111th Street & Wallace,-87.63739317,41.69248222
15418,5305,CHICAGO,66,Chicago & Elizabeth,-87.66021387,41.89626141
12064,5306,LUNT,96,Lunt & Paulina,-87.67241787,42.00905392
9343,5307,BELMONT,77,Belmont & Natchez,-87.78838654,41.9383076
12606,5308,ADDISON,152,Addison & Marmora,-87.77398492,41.94581642
6830,5309,16TH STREET,18,16th Street & Spaulding,-87.70772719,41.85914593
2677,5310,79TH STREET,79,79th Street & Sacramento,-87.697632,41.749935
1265,5311,FULLERTON,74,Fullerton & Kilpatrick,-87.74370201,41.92435094
11818,5312,HARLEM,90,Harlem & Leland,-87.80709068,41.96539857
5980,5313,HALSTED,"8A,108",Halsted & 122nd Street,-87.64160099,41.67227473
5292,5314,JEFFERY,15,Jeffery & 86th Street,-87.575682,41.73894204
9130,5315,PULASKI,53,Pulaski & Waveland,-87.72735384,41.9480848
15499,5316,WESTERN,95,Western & 90th Street,-87.68222814,41.73032869
14262,5317,RIDGE,"201,206",Ridge & Lee,-87.68687163,42.03570306
11733,5318,RIDGELAND,86,Ridgeland & Thomas,-87.78496517,41.8997991
9976,5319,KEDZIE,52A,Kedzie & 101st Street,-87.70136028,41.70922873
5412,5320,BROADWAY,36,Broadway & Cullom,-87.653999,41.959997
1913,5321,CLARK,"22,36",Clark & Deming,-87.64214153,41.9286314
14313,5322,CHICAGO AVENUE,205,Chicago Avenue & Kedzie,-87.67872736,42.03190752
17288,5323,76TH STREET,67,76th Street & Daley College,-87.72413599,41.75514745
17347,5324,79TH STREET,79,79th Street & Muskegon,-87.55566941,41.75192706
6605,5325,SEDGWICK,37,Sedgwick & Evergreen,-87.63849992,41.90665762
5720,5326,IRVING PARK,80,Irving Park & Lavergne,-87.75209606,41.9534398
5005,5327,ONTARIO,"2,157",Ontario & St. Clair,-87.622558,41.893397
14916,5328,BELMONT,77,Belmont & Racine,-87.6592261,41.93989998
611,5329,CHICAGO,66,Chicago & Larrabee,-87.64260977,41.8965778
3225,5330,63RD STREET,63,63rd Street & Michigan,-87.62187272,41.78009804
629,5331,CHICAGO,66,Chicago & Oakley,-87.68422742,41.89586527
487,5332,MADISON,20,Madison & Springfield,-87.7231035,41.88080561
6855,5333,CERMAK,21,Cermak & Morgan,-87.65166556,41.85264517
3222,5334,63RD STREET,63,63rd Street & King Drive (Green Line),-87.61552795,41.78030144
4846,5335,FOSTER,"136,146,147",Foster & Marine Drive,-87.65225389,41.97637199
11324,5336,MONTROSE,78,Montrose & Cicero,-87.74771912,41.96064775
4555,5337,55TH STREET,55N,55th Street & Austin,-87.772168,41.79248
67,5338,JACKSON,"1,121",Jackson & Canal,-87.639776,41.877997
1383,5339,LINCOLN,11,Lincoln & Irving Park/Damen,-87.67895139,41.95431713
6502,5340,WENTWORTH,"24,31",Wentworth & 33rd Street,-87.631635,41.834742
14469,5341,CLARENDON,148,Clarendon & Wilson,-87.64995403,41.96572426
7406,5342,SOUTH CHICAGO,30,South Chicago & 69th Street,-87.61022519,41.76933166
1019,5343,SHERIDAN,"147,151",Sheridan & Greenleaf,-87.662563,42.010216
5317,5344,STONY ISLAND,"6,15,28",Stony Island & 65th Street,-87.58619489,41.777028
9101,5345,PULASKI,"53,N66",Pulaski & Chicago,-87.7258884,41.89524743
1068,5346,LAKE SHORE,"135,146,151",Lake Shore & Roscoe,-87.64057871,41.94321611
9752,5347,MILWAUKEE,"85,85A",Milwaukee & Foster,-87.76747841,41.97556751
1377,5348,LINCOLN,11,Lincoln & Wilson,-87.68624486,41.96500645
5285,5349,JEFFERY,"J14,15",Jeffery & 93rd Street,-87.57537888,41.72628691
2464,5350,COTTAGE GROVE,"4,N5,95",Cottage Grove & 93rd Street,-87.60443353,41.72552373
1512,5351,STONY ISLAND,"6,15,28,",Stony Island & 60th Street,-87.5864924,41.78601833
14811,5352,BROADWAY,36,Broadway & Belmont,-87.6444603,41.93980871
4264,5353,CALIFORNIA,"35,94",California & 35th Street,-87.69491004,41.82987898
4396,5354,ARCHER,"62,62H",Archer & Lockwood,-87.75521642,41.79674384
1410,5355,LASALLE,"73,156",LaSalle & Eugenie,-87.63331987,41.91260389
1473,5356,LINCOLN,11,Lincoln & Grace/Wolcott,-87.67606775,41.95041393
14777,5357,HALSTED,8,Halsted & Roosevelt,-87.64674513,41.86764513
15274,5358,HALSTED,"8,132",Halsted & Milwaukee/Grand (Blue Line),-87.64753919,41.89154551
17231,5359,HALSTED,8,Halsted & 76th Street,-87.64410637,41.75637848
2484,5360,COTTAGE GROVE,4,Cottage Grove & 73rd Street,-87.60537522,41.76214878
9066,5361,PULASKI,53,Pulaski & 28th Street,-87.724369,41.840476
4277,5362,CALIFORNIA,94,California & 51st Street,-87.6940862,41.80081276
17067,5363,PAULINA,7,Paulina & Harrison,-87.66918315,41.87393446
10026,5364,KEDZIE,52A,Kedzie & 83rd Street,-87.702262,41.742587
9081,5365,PULASKI,53,Pulaski & Roosevelt,-87.72505362,41.86600717
4211,5366,CALIFORNIA,94,California & Washington,-87.69625579,41.88276585
3165,5367,KEDZIE,52,Kedzie & Lake (Green Line),-87.7061072,41.88421582
17104,5368,COTTAGE GROVE,4,Cottage Grove & 83rd Street,-87.60514956,41.74381085
17114,5369,JEFFERY,15,Jeffery & 76th Street,-87.57617428,41.75687821
17158,5370,HALSTED,"8,44",Halsted & 45th Street,-87.64574924,41.81229064
11135,5371,KIMBALL,82,Kimball & Irving Park,-87.7130072,41.95399483
11534,5372,CENTRAL,85,Central & Addison,-87.76685224,41.94597666
15341,5373,MILWAUKEE,56,Milwaukee & Grand/Halsted (Blue Line),-87.64798878,41.89153959
11006,5374,KEDZIE,76,Kedzie & Diversey,-87.707341,41.931933
8742,5375,DAMEN,48,Damen & 48th Street,-87.674548,41.806645
11896,5376,KEDZIE,93,Kedzie & Foster,-87.70859067,41.97561421
5083,5377,RACINE,44,Racine & 47th Street,-87.65516245,41.80861885
3319,5378,CICERO,63W,Cicero & 63rd Street,-87.74214678,41.77867563
2138,5379,KING DRIVE,3,King Drive & 63rd Street (Green Line),-87.6155379,41.78043717
208,5380,HARRISON,"7,60",Harrison & Morgan,-87.651583,41.874463
2659,5381,79TH STREET,79,79th Street & Loomis,-87.65843432,41.75049402
2846,5382,115TH STREET,115,115th Street & Michigan,-87.62064003,41.68542177
975,5383,NORTH AVENUE,72,North Ave & Cicero,-87.74586122,41.90974281
4096,5384,CORTLAND,"73,132",Clybourn Metra Station,-87.66829596,41.91616021
11478,5385,RIDGE,84,Ridge & Clark,-87.6697868,41.98965705
2368,5386,STATE,"29,36",State & Hubbard,-87.62810692,41.89015128
3002,5387,CALIFORNIA,52,California & Logan,-87.69762089,41.92877187
1792,5388,CLARK,22,Clark & Devon,-87.67077259,41.99818108
651,5389,CHICAGO,66,Chicago & Kildare,-87.73334867,41.89531292
10616,5390,55TH STREET,55,55th Street & Francisco,-87.696405,41.793687
5275,5391,100TH STREET,15,100th Street & Crandon,-87.56707024,41.71354288
12615,5392,ADDISON,152,Addison & Normandy,-87.79342378,41.94557786
4087,5393,ARMITAGE,73,Armitage & Orchard,-87.64601656,41.91825736
1088,5394,LAKE SHORE,151,Lake Shore & Burton,-87.62624,41.909342
2829,5395,COTTAGE GROVE,"4,115",Cottage Grove & 103rd Street,-87.60660677,41.70753887
12364,5648,111TH STREET,112,111th Street & Hoyne,-87.67376038,41.69196953
11194,5649,CENTRAL PARK,82,Central Park & Ogden (Pink Line),-87.71515293,41.85412848
3219,5650,63RD STREET,63,63rd Street & St. Lawrence,-87.61071262,41.78038712
15136,5651,MADISON,20,Madison & Pulaski,-87.72595327,41.88083294
617,5652,CHICAGO,66,Chicago Blue Line Station,-87.65510772,41.89635265
12024,5653,95TH STREET,"N5,95,100",95th Street & Woodlawn,-87.59468031,41.72229282
210,5654,HARRISON,"7, 755",Harrison & Racine,-87.657447,41.87433
1278,5655,FULLERTON,74,Fullerton & Austin,-87.77558861,41.92393763
14966,5656,PETERSON,84,Peterson & Kostner,-87.73775956,41.98992213
10547,5657,GARFIELD,55,Garfield & Indiana,-87.62049817,41.79434266
14570,5658,DIVISION,70,Division & Kedzie,-87.70665723,41.90276657
7503,5659,31ST STREET,31,31st Street & King Drive,-87.61772505,41.83847627
17903,5660,60TH STREET,2,60th Street & University,-87.59805239,41.78600896
17261,5661,103RD STREET,103,103rd Street & Seeley,-87.67199049,41.70659383
10826,5662,71ST STREET,71,71st Street & Euclid,-87.578583,41.766267
15362,5663,ROOSEVELT,"12,130,146",Roosevelt & Michigan/Indiana,-87.62325733,41.86733887
4249,5664,CALIFORNIA,94,California & 19th Street,-87.695637,41.855631
2316,5665,STATE,29,State & 48th Street,-87.62591,41.807268
8895,5666,DAMEN,50,Damen & 19th Street,-87.675873,41.85573
8925,5667,DAMEN,50,Damen & Potomac,-87.677227,41.904918
15253,5668,COMMERCIAL,"N5,26,71",Commercial & 85th Street,-87.55142476,41.74124358
5896,5669,HALSTED,8,Halsted & 50th Street,-87.645302,41.803303
5578,5670,MILWAUKEE,56,Milwaukee & Kostner,-87.73828723,41.94802928
5466,5671,MILWAUKEE,"56,76",Milwaukee & Sawyer,-87.70971866,41.93042294
10404,5672,CICERO,54B,Cicero & 32nd Street,-87.743503,41.834898
10438,5673,SKOKIE BLVD,54A,Skokie Blvd & Oakton,-87.74674448,42.0263357
1169,5674,SHERIDAN,151,Sheridan & Dakin,-87.65445706,41.95381159
2822,5675,COTTAGE GROVE,"4,115",9600 S Cottage Grove,-87.60372002,41.72020511
2436,5676,LAFAYETTE,29,Lafayette & 70th Street,-87.626615,41.76736
5160,5677,RACINE,44,Racine & 48th Street,-87.655248,41.807049
7050,5678,S. SHORE DRIVE,"6,26",S. Shore Drive & 70th Street,-87.56657704,41.76780425
12415,5679,VINCENNES,112,Vincennes & 104th Street,-87.65666036,41.70486187
6984,5680,TORRENCE,71,11000 S Torrence,-87.55939,41.695527
2126,5681,KING DRIVE,3,King Drive & 74th Street,-87.6151093,41.76039666
5298,5682,JEFFERY,15,Jeffery & 80th Street,-87.57583371,41.74990959
9700,5683,NAGLE,"86,91",Nagle & Berwyn,-87.78776172,41.97739122
7020,5684,S. SHORE DRIVE,"N5,26,71",S. Shore Drive & 81st Street,-87.54789618,41.74837743
6132,5685,BEVERLY,9,9653 S Beverly,-87.66220558,41.71896957
17316,5686,NORTHWEST HWY,68,Northwest Hwy & Nagle,-87.78796891,41.98619587
12514,5687,ADDISON,152,Addison & Lawndale/Avondale,-87.72014702,41.94641121
17236,5688,55TH STREET,55,55th Street & Central Park,-87.71284159,41.79341548
1460,5689,LINCOLN,11,Lincoln & Wrightwood/Sheffield,-87.65401738,41.92929796
10371,5690,73RD STREET,54B,73rd Street & Cicero,-87.74249654,41.76023192
15106,5691,STATE,29,State & 90th Street,-87.62396657,41.73100743
17140,5692,SEDGWICK,37,Sedgwick & Blackhawk,-87.63860317,41.90910035
15794,5693,115TH STREET,52A,115th Street & Spaulding,-87.70262108,41.68416931
3012,5694,CALIFORNIA,52,California & Bloomingdale,-87.69717068,41.9141084
14973,5695,CALIFORNIA,52,California & North Ave,-87.697141,41.90995413
17294,5696,McCORMICK,"82,96",McCormick & Devon,-87.7116304,41.99777145
846,5697,NORTH AVENUE,72,North Ave & Forest,-87.80129052,41.90883939
15376,5698,NORTH AVENUE,"N9,72",North Ave & Fremont,-87.65084099,41.91081131
15053,5699,WESTERN,49,Western & Lake,-87.68640246,41.88483457
16111,5700,BLACKSTONE,63,Blackstone & 63rd Street,-87.58888488,41.78020215
17378,5701,HALSTED,8,Halsted & 49th Street,-87.6453546,41.80566952
17206,5702,ROOSEVELT,12,Roosevelt & Laramie,-87.75504704,41.86581986
15875,5703,HALSTED,8,Halsted & 63rd Street (Green Line),-87.64486937,41.77945168
6881,5704,CERMAK,21,Cermak & St. Louis,-87.7122259,41.85182211
1159,5705,LAKE SHORE,"135,146,151",Lake Shore & Stratford,-87.64195152,41.94617767
17247,5706,LAWRENCE,81,Lawrence & Ashland,-87.66971304,41.96895844
712,5707,GRAND,65,Grand & Albany,-87.70428253,41.89730851
2350,5708,STATE,"29,62",State & 14th Place,-87.62717064,41.86230565
17696,5709,31ST STREET,35,31st Street & Kedzie,-87.70503843,41.83729365
17697,5710,79TH STREET,79,79th Street & Jeffery,-87.57578455,41.75153266
17684,5711,DIVISION,70,Division & LaSalle,-87.6331937,41.90394158
17706,5712,100TH STREET,"J14,15",100th Street & Paxton,-87.56963306,41.71339537
17719,5713,118TH STREET,30,Avenue O & 118th Street,-87.53962768,41.68088185
17733,5714,KING DRIVE,111,King Drive & 99th Place,-87.6138256,41.71392244
17720,5715,KING DRIVE,111,King Drive & 99th Place,-87.6141144,41.71421168
17732,5716,KING DRIVE,111,King Drive & 101st Street,-87.61375727,41.71084582
17721,5717,KING DRIVE,111,King Drive & 101st Street,-87.61399773,41.71102421
17731,5718,KING DRIVE,111,King Drive & 103rd Street,-87.61362089,41.70726471
17722,5719,KING DRIVE,111,King Drive & 103rd Street,-87.61386133,41.7074431
17730,5720,KING DRIVE,111,King Drive & 105th Street,-87.61359944,41.70359748
17723,5721,KING DRIVE,111,King Drive & 105th Street,-87.61383987,41.70377588
17729,5722,KING DRIVE,111,King Drive & 107th Street,-87.61351402,41.69988137
17724,5723,KING DRIVE,111,King Drive & 107th Street,-87.61375443,41.70005977
17728,5724,KING DRIVE,111,King Drive & 109th Street,-87.61336997,41.69631675
17725,5725,KING DRIVE,111,King Drive & 109th Street,-87.61361037,41.69649514
17727,5726,KING DRIVE,111,King Drive & 111th Street,-87.61323638,41.69301187
17735,5727,MARSHFIELD,"111,115",Marshfield & 116th Street,-87.66288957,41.68317509
17736,5728,MARSHFIELD,"111,115",Marshfield & 117th Street,-87.66255742,41.68039211
17737,5729,ASHLAND,"111,115",Ashland & 119th Street,-87.66121664,41.67804838
17738,5730,ASHLAND,"111,115",Ashland & 117th Street,-87.66122173,41.68109832
17734,5731,115TH STREET,111,115th Street & Marshfield,-87.6628172,41.68469056
17739,5732,115TH STREET,111,115th Street & Marshfield,-87.66305102,41.68486249
3132,5733,KEDZIE,"35,52",3349 S Kedzie,-87.70459199,41.83266508
11044,5734,DIVERSEY,76,Diversey Brown Line Station,-87.65296134,41.93271449
10836,5735,71ST STREET,71,71st Street & Greenwood,-87.59846,41.76595
12356,5736,VINCENNES,112,Vincennes & 108th Place,-87.66016695,41.69679373
17057,5737,60TH STREET,"2,171,172",1111 East 60th Street,-87.59950307,41.78589843
654,5738,CHICAGO,66,Chicago & Kilpatrick,-87.74341428,41.89513012
13023,5739,DORCHESTER,59,Dorchester & 60th Street,-87.591548,41.785949
14934,5740,MCCORMICK PL,,McCormick Pl & Gate 26,-87.6143012,41.85049383
6497,5741,WENTWORTH,24,Wentworth & 28th Place,-87.63183,41.842808
9539,5742,NAGLE,86,Nagle & Newburg,-87.78769866,41.98894948
15828,5743,AUSTIN,91,Austin & Thomas,-87.77537919,41.90028805
6386,5744,BLUE ISLAND,60,Blue Island & Hoyne,-87.67804246,41.8477489
2995,5745,CALIFORNIA,52,California & Melrose,-87.697913,41.940325
3013,5746,CALIFORNIA,52,California & Wabansia,-87.697112,41.912447
7192,5747,STONY ISLAND,28,Stony Island & 77th Street,-87.58606621,41.75522841
10039,5748,KEDZIE,52A,Kedzie & 96th Street,-87.7018,41.718997
9934,5749,NORTHWEST HWY,68,Northwest Hwy & Neva,-87.80486926,41.99574806
2439,5750,LAFAYETTE,29,Lafayette & 73rd Street,-87.626523,41.762007
6727,5751,SEDGWICK,37,Sedgwick & Wisconsin,-87.638662,41.916374
7587,5752,EBERHART,34,Eberhart & 130th Street,-87.61050672,41.65900015
8125,5753,CICERO,"47,54B",Cicero & 51st Street,-87.7427848,41.80022417
10428,5754,CICERO,54A,Cicero & Albion,-87.748124,42.0008
5892,5755,HALSTED,8,Halsted & 54th Street,-87.64509246,41.79605177
8128,5756,CICERO,"47,54B",Cicero & 48th Street,-87.74295232,41.8057216
10466,5757,CICERO,54A,Cicero & Sherwin,-87.74796595,42.01439958
11116,5758,KIMBALL,82,Kimball & Thorndale,-87.714002,41.988531
6295,5759,CLARK,24,Clark & 15th Street,-87.630305,41.861835
17116,5760,BLUE ISLAND,60,Blue Island & Hoyne,-87.67786725,41.84762236
17156,5761,CLARK,22,Clark & Thorndale,-87.67001639,41.98831247
11545,5762,CENTRAL,85,Central & Altgeld,-87.766117,41.925874
4735,5763,PULASKI,53A,Pulaski & 81st Street,-87.72192,41.745952
5585,5764,MILWAUKEE,56,Milwaukee & Cullom,-87.75270266,41.95876126
3693,5765,HALSTED,8A,9030 S Halsted,-87.643533,41.730025
4530,5766,ARCHER,"62,62H",Archer & Melvina,-87.77684825,41.79357868
7395,5767,SOUTH CHICAGO,30,South Chicago & Dante,-87.58984858,41.75471375
7578,5768,ELLIS,34,Ellis & 133rd Street,-87.59687652,41.65388496
10456,5769,SKOKIE BLVD,54A,Skokie Blvd & Crain,-87.7471,42.038599
3037,5770,KEDZIE,52,Kedzie & Monroe,-87.70616241,41.87978999
3041,5771,KEDZIE,52,Kedzie-Homan Blue Line Station,-87.70601698,41.87425108
15143,5772,WESTERN,49,Western & 57th Street,-87.68405636,41.79013266
11285,5773,KIMBALL,82,Kimball & Carmen,-87.71336872,41.97263877
15704,5774,HARLEM,"90,307,318",Harlem & Augusta,-87.8051927,41.89779756
15708,5775,HARLEM,"90,307,318",Harlem & Greenfield,-87.80537201,41.90508524
8590,5776,EAST RIVER RD,81W,East River Rd & Berwyn,-87.846407,41.974865
5113,5777,CANAL,44,Canal & 24th Place,-87.63831282,41.84809164
11298,5778,FOREST PRES DR,"78,80",Forest Preserve Avenue & Harlem/Irving Park,-87.80885738,41.95325194
9963,5779,KEDZIE,52A,Kedzie & 114th Street,-87.70055052,41.68608317
7021,5780,S. SHORE DRIVE,"N5,26,71",S. Shore Drive & 80th Street,-87.54796378,41.75026926
7601,5781,MICHIGAN,"34,119",Michigan & 117th Street,-87.6205488,41.68146215
4899,5782,MARINE DRIVE,"136,146,148",Marine Drive & Argyle,-87.65092284,41.97336632
2840,5783,COTTAGE GROVE,"4,111A,115",Cottage Grove & 114th Street,-87.611191,41.687449
7073,5784,COMMERCIAL,"N5,26,71",Commercial & 89th Street,-87.55143183,41.73381283
3133,5785,KEDZIE,"35,52",3201 S Kedzie,-87.70469377,41.83547406
14036,5786,WOODLAWN,172,Woodlawn & 53rd Street,-87.5967474,41.7995365
15817,5787,WOODLAWN,172,Woodlawn & Hyde Park Blvd,-87.59677589,41.80215977
10572,5788,55TH STREET,"55,171",55th Street & Woodlawn,-87.59637541,41.79515876
10570,5789,55TH STREET,"55,171",55th Street & Kenwood,-87.59360016,41.79519173
16036,5790,UNIVERSITY,171,University & 57th Street,-87.59800902,41.79133238
14040,5791,WOODLAWN,172,Woodlawn & 57th Street,-87.59640145,41.7916486
1646,5792,E HYDE PARK,"2,15,172",E Hyde Park & Blackstone,-87.59016592,41.80238686
1521,5793,S HYDE PARK,"6,28,171",S Hyde Park & 53rd Street,-87.58396077,41.79946812
12246,5794,106TH STREET,100,106th Street & Avenue C,-87.52706815,41.70261674
3398,5795,63RD STREET,63,63rd Street & Francisco,-87.69595208,41.77900224
